url,year,country,crew,crewFatalities,passengers,passengerFatalities,totalFatalities
http://www.baaa-acro.com/1920/archives/crash-of-a-breguet-14-in-toulouse-2/,1920,France,NaN,0,NaN,0,0
http://www.baaa-acro.com/1920/archives/crash-of-a-breguet-14-in-valencia-spain-2-killed/,1920,Spain,2,2,NaN,0,2
http://www.baaa-acro.com/1920/archives/crash-of-a-curtiss-divers-in-new-jersey-1-killed/,1920,USA,1,1,1,0,1
http://www.baaa-acro.com/1920/archives/crash-of-a-curtiss-divers-in-newark-1-killed/,1920,USA,1,1,1,0,1
http://www.baaa-acro.com/1920/archives/crash-of-a-curtiss-hs-2l-in-brooklin/,1920,Canada,NaN,0,NaN,0,0
http://www.baaa-acro.com/1920/archives/crash-of-a-de-havilland-dh-16-in-brighton/,1920,UK,1,0,NaN,0,0
http://www.baaa-acro.com/1920/archives/crash-of-a-de-havilland-dh-16-in-united-kingdom/,1920,UK,1,0,3,0,0
http://www.baaa-acro.com/1920/archives/crash-of-a-de-havilland-dh-18-in-wallington/,1920,UK,1,0,8,0,0
http://www.baaa-acro.com/1920/archives/crash-of-a-de-havilland-dh-4-in-arkansas-city/,1920,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1920/archives/crash-of-a-de-havilland-dh-4-in-atlantic-city/,1920,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1920/archives/crash-of-a-de-havilland-dh-4-in-bolling-afb/,1920,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1920/archives/crash-of-a-de-havilland-dh-4-in-brownsville/,1920,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1920/archives/crash-of-a-de-havilland-dh-4-in-calexico-2/,1920,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1920/archives/crash-of-a-de-havilland-dh-4-in-cleveland-1-killed-2/,1920,USA,1,0,NaN,0,1
http://www.baaa-acro.com/1920/archives/crash-of-a-de-havilland-dh-4-in-deepstep/,1920,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1920/archives/crash-of-a-de-havilland-dh-4-in-enid/,1920,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1920/archives/crash-of-a-de-havilland-dh-4-in-fort-sill-afb-2/,1920,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1920/archives/crash-of-a-de-havilland-dh-4-in-fort-sill-afb-3/,1920,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1920/archives/crash-of-a-de-havilland-dh-4-in-fort-sill-afb-4/,1920,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1920/archives/crash-of-a-de-havilland-dh-4-in-fort-sill-afb-5/,1920,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1920/archives/crash-of-a-de-havilland-dh-4-in-illinois-1-killed/,1920,USA,1,0,NaN,0,1
http://www.baaa-acro.com/1920/archives/crash-of-a-de-havilland-dh-4-in-indiana-1-killed/,1920,USA,1,1,NaN,0,1
http://www.baaa-acro.com/1920/archives/crash-of-a-de-havilland-dh-4-in-iowa-1-killed/,1920,USA,1,0,1,1,1
http://www.baaa-acro.com/1920/archives/crash-of-a-de-havilland-dh-4-in-kelly-afb-2/,1920,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1920/archives/crash-of-a-de-havilland-dh-4-in-kelly-afb-3/,1920,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1920/archives/crash-of-a-de-havilland-dh-4-in-kelly-afb-4/,1920,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1920/archives/crash-of-a-de-havilland-dh-4-in-kelly-afb-5/,1920,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1920/archives/crash-of-a-de-havilland-dh-4-in-knox-mundorff-afb/,1920,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1920/archives/crash-of-a-de-havilland-dh-4-in-landing-afb/,1920,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1920/archives/crash-of-a-de-havilland-dh-4-in-maryland-1-killed/,1920,USA,1,1,NaN,0,1
http://www.baaa-acro.com/1920/archives/crash-of-a-de-havilland-dh-4-in-mather-afb/,1920,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1920/archives/crash-of-a-de-havilland-dh-4-in-mexico-2/,1920,Mexico,NaN,0,NaN,0,0
http://www.baaa-acro.com/1920/archives/crash-of-a-de-havilland-dh-4-in-mitchel-afb/,1920,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1920/archives/crash-of-a-de-havilland-dh-4-in-morgantown/,1920,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1920/archives/crash-of-a-de-havilland-dh-4-in-newark-1-killed/,1920,USA,1,0,NaN,0,1
http://www.baaa-acro.com/1920/archives/crash-of-a-de-havilland-dh-4-in-oklahoma-city-2/,1920,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1920/archives/crash-of-a-de-havilland-dh-4-in-pennsylvania-1-killed-2/,1920,USA,1,1,NaN,0,1
http://www.baaa-acro.com/1920/archives/crash-of-a-de-havilland-dh-4-in-philippines/,1920,Philippines,NaN,0,NaN,0,0
http://www.baaa-acro.com/1920/archives/crash-of-a-de-havilland-dh-4-in-red-bluff/,1920,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1920/archives/crash-of-a-de-havilland-dh-4-in-santa-monica/,1920,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1920/archives/crash-of-a-de-havilland-dh-4-in-wyoming-1-killed/,1920,USA,1,1,NaN,0,1
http://www.baaa-acro.com/1920/archives/crash-of-a-de-havilland-dh-9-in-eltham/,1920,UK,2,0,NaN,0,0
http://www.baaa-acro.com/1920/archives/crash-of-a-de-havilland-dh-9-in-morley/,1920,Canada,NaN,0,NaN,0,0
http://www.baaa-acro.com/1920/archives/crash-of-a-de-havilland-dh-9-in-rochester/,1920,USA,NaN,0,NaN,0,0
http://www.baaa-acro.com/1920/archives/crash-of-a-de-havilland-dh-9-in-united-kingdom/,1920,UK,1,0,2,0,0
http://www.baaa-acro.com/1920/archives/crash-of-a-fairey-iii-in-sweden-2-killed/,1920,UK,2,2,NaN,0,2
http://www.baaa-acro.com/1920/archives/crash-of-a-fairey-iiic-near-gavle/,1920,Sweden,1,0,1,0,0
http://www.baaa-acro.com/1920/archives/crash-of-a-farman-f-40-in-barranquilla-1-killed/,1920,Colombia,1,1,3,0,1
http://www.baaa-acro.com/1920/archives/crash-of-a-farman-f-40-in-cartagena-colombia-2-killed/,1920,Colombia,1,1,2,1,2
http://www.baaa-acro.com/1920/archives/crash-of-a-handley-page-h-p-12-in-el-shereik/,1920,Sudan,NaN,0,NaN,0,0
http://www.baaa-acro.com/1920/archives/crash-of-a-handley-page-h-p-12-in-london-uk-4-killed/,1920,UK,2,2,6,2,4
http://www.baaa-acro.com/1920/archives/crash-of-a-handley-page-h-p-12-in-ostana-herregaard/,1920,Sweden,4,0,3,0,0
http://www.baaa-acro.com/1920/archives/crash-of-a-handley-page-o7-in-china/,1920,China,NaN,0,NaN,0,0
http://www.baaa-acro.com/1920/archives/crash-of-a-handley-page-o7-in-south-africa-2/,1920,South Africa,1,0,8,0,0
